line,line_name,season,valid_from,valid_to,direction,train_number,service_code,station_order,station,arrival_time,departure_time,time
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Jebel Jelloud,C91,LU-SA,1,Tunis Ville,,06:37,06:37
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Jebel Jelloud,C91,LU-SA,2,DEPOT FARHAT HACHED,06:40,06:41,06:41
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Jebel Jelloud,C91,LU-SA,3,Jebel Jelloud,06:45,06:46,06:46
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Jebel Jelloud → Tunis Ville,C92,VE,1,Jebel Jelloud,12:44,12:45,12:45
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Jebel Jelloud → Tunis Ville,C92,VE,2,DEPOT FARHAT HACHED,12:49,12:50,12:50
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Jebel Jelloud → Tunis Ville,C92,VE,3,Tunis Ville,12:53,,12:53
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Jebel Jelloud → Tunis Ville,C94,SA,1,Jebel Jelloud,13:17,13:18,13:18
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Jebel Jelloud → Tunis Ville,C94,SA,2,DEPOT FARHAT HACHED,13:22,13:23,13:23
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Jebel Jelloud → Tunis Ville,C94,SA,3,Tunis Ville,13:26,,13:26
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Jebel Jelloud → Tunis Ville,C96,LU-JE,1,Jebel Jelloud,13:37,13:40,13:40
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Jebel Jelloud → Tunis Ville,C96,LU-JE,2,DEPOT FARHAT HACHED,13:44,13:45,13:45
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Jebel Jelloud → Tunis Ville,C96,LU-JE,3,Tunis Ville,13:48,,13:48
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,1,Tunis Ville,,05:00,05:00
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,2,DEPOT FARHAT HACHED,05:04,05:04,05:04
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,3,Jebel Jelloud,05:06,05:07,05:07
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,4,MEGRINE RYADH,05:09,05:09,05:09
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,5,MEGRINE,05:10,05:11,05:11
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,6,SIDI REZIG,05:12,05:13,05:13
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,7,Rades,05:16,05:17,05:17
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,8,RADES MELIANE,05:19,05:19,05:19
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,9,EZ-ZAHRA,05:21,05:22,05:22
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,10,LYCEE EZZAHRA,05:24,05:25,05:25
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,11,BOU KORNINE,05:26,05:26,05:26
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,12,Hammam Lif,05:28,05:29,05:29
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,13,ARRET DU STADE,05:30,05:31,05:31
A,Banlieue Sud,hiver_2025,2025-09-01,2026-06-30,Tunis Ville → Erriadh,101,Q,14,TAHAR SFAR,05:33,05:33,05:33
