line,season,direction,train_number,station_order,station,time,valid_from,valid_to,service_code
E,hiver_2025_2026,Tunis→Bougatfa,401,1,Tunis,04:40,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,401,2,Sayda Manoubia,04:44,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,401,3,Ennajeh,04:46,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,401,4,Etayaran,04:49,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,401,5,Ezzouhour 2,04:51,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,401,6,El Hrayria,04:53,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,401,7,Bougatfa,04:55,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,403,1,Tunis,05:00,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,403,2,Sayda Manoubia,05:04,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,403,3,Ennajeh,05:06,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,403,4,Etayaran,05:09,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,403,5,Ezzouhour 2,05:11,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,403,6,El Hrayria,05:13,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,403,7,Bougatfa,05:15,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,405,1,Tunis,05:20,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,405,2,Sayda Manoubia,05:24,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,405,3,Ennajeh,05:26,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,405,4,Etayaran,05:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,405,5,Ezzouhour 2,05:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,405,6,El Hrayria,05:33,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,405,7,Bougatfa,05:35,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,407,1,Tunis,05:25,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,407,2,Sayda Manoubia,05:29,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,407,3,Ennajeh,05:31,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,407,4,Etayaran,05:34,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,407,5,Ezzouhour 2,05:36,2025-09-01,2026-06-30,all
E,hiver_2025_2026,Tunis→Bougatfa,407,6,El Hrayria,05:38,2025-09-01,2026-06-30,all
